,Kingdom,Phylum,Class,Order,Family,Genus,Species,10107-1st,10107-2nd,10107-3rd,10188-1st,10188-2nd,134-1st,134-2nd,134-3rd,134-4th,172-3rd,18-1st,18-2nd,18-3rd,18-4th,191-3rd,202-1st,202-2nd,205-1st,205-2nd,205-3rd,89--4th,S120-1st,S120-2nd,S124-1st,S124-2nd,S124-3rd,S134-1st,S134-2nd,S172-1st,S172-2nd,S190-1st,S190-2nd,S191-1st,S191-2nd,S198-1st,S198-2nd,S47-1st,S47-2nd,S49-1st,S49-2nd,S61-1st,S61-2nd,S78-1st,S78-2nd,S78-3rd,S78-4th,S78-5th,S78-6th,S89-2nd,S89-3rd,S89-4th
11,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis,1491,2383,4723,480,1429,3231,1988,903,248,0,5087,3153,906,376,1271,0,0,4679,2623,3501,0,1028,2431,801,1910,439,0,1544,0,0,6722,3349,688,228,3696,1108,0,0,4652,22397,22,93,0,711,1370,2386,3487,36,0,0,0
12,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,finegoldii,0,0,0,57,234,0,1380,1737,0,0,289,0,0,0,0,0,50,0,0,0,0,53,22,845,46,391,0,2452,0,0,597,0,0,0,7782,621,1383,62,16922,53979,35,95,33,0,0,0,0,0,0,0,0
13,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,NA,0,0,0,0,0,0,0,0,0,0,490,830,155,281,1915,0,0,3614,0,268,0,501,11198,23974,28914,7624,0,0,0,0,1730,1368,2365,1799,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,2208,3491,6330,7654,29111,276,0,0,0,18,1604,24696,2945,284,0,138,108,519,212,144,1811,0,52,235,0,422,0,0,0,0,713,253,0,0,1031,84,0,0,0,0,0,0,80,84,0,542,241,0,0,14,36
15,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,236,201,4659,0,482,1136,0,0,0,0,0,0,0,0,728,0,0,0,0,0,293,0,0,1376,10662,0,0,0,0,0,242,290,114,0,90,56,0,0,6600,10445,4354,37898,594,50,27,69,767,3691,0,0,12
16,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,muciniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,931,0,0,0,0,0,0,12,12,0,0,11,0,0,0,6042,0,0,13,0,0,0,0,0,0,71100,0,0
17,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,NA,284,371,2737,1696,4518,1243,525,476,110,8332,1248,73,436,37,992,20,846,211,372,596,576,498,5905,393,264,298,10,182,1261,4165,461,776,148,112,274,290,645,2836,5990,396,856,4212,615,158,511,401,1542,4038,7207,5666,82
18,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis,0,0,0,1377,3633,0,1870,889,228,1398,2062,1932,465,142,0,1954,1963,0,0,0,12469,503,1752,2263,2076,850,0,1493,3901,772,0,0,96,0,0,0,19996,4198,0,0,0,0,627,0,0,0,0,0,41,93,4596
19,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,putredinis,0,0,0,0,0,0,0,0,0,0,0,7296,2622,1029,19,558,715,6181,2200,1834,0,0,12126,531,106,0,0,0,0,10,0,25,38,0,0,0,6474,2886,3153,21298,0,0,3308,0,0,8,0,0,0,0,0
20,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,prausnitzii,0,0,20,166,1489,12,45,28,0,1536,595,806,580,3106,407,110,2021,295,399,1254,0,623,1133,2335,2983,489,0,70,824,883,1560,4075,1292,192,924,91,0,0,79,25,2998,30802,87,0,0,0,0,0,0,0,0
21,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,NA,0,0,0,429,1913,0,230,558,165,10056,4480,3649,57,744,303,93,72,0,9,50,0,541,475,148,161,294,0,114,246,3246,500,432,87,127,208,106,0,0,31826,749,0,15,0,0,0,0,0,0,115,0,0
22,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,massiliensis,0,0,0,0,0,1820,10229,3350,207,1180,688,4820,2109,914,0,0,0,465,1322,1870,0,5081,587,0,0,0,0,10616,2628,461,0,0,11,0,0,0,355,114,0,0,0,0,17,1610,1782,5099,4489,17,0,0,0
23,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,NA,0,0,0,1922,15716,3660,179,975,106,1877,1150,74,0,576,2672,0,282,0,35,1079,0,0,256,960,4151,0,0,121,351,929,2631,1369,1220,2117,280,303,0,0,1197,1236,0,92,3580,1308,2972,3016,3077,25,0,0,0
24,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA,NA,0,0,0,0,0,0,0,0,0,0,338,1556,2719,0,0,0,0,9566,1335,2063,0,30,2228,47,0,0,0,0,0,0,0,564,1237,0,2136,0,24,108,17277,19270,0,0,0,0,0,0,0,0,0,0,0
25,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,320,400,3779,88,1043,657,0,0,7,3651,3580,0,0,0,361,0,52,0,0,0,183,2223,131,0,7739,51,0,0,3665,3399,289,689,61,0,80,357,0,0,12188,2673,535,3515,564,0,0,86,361,316,6859,124,0
26,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,NA,0,0,0,64,206,2119,994,732,157,0,2436,1164,3803,1762,829,0,5049,662,343,964,0,728,654,4178,13039,880,13,916,457,18,1203,3121,1020,132,426,2633,0,0,303,2232,130,0,2319,549,462,455,2129,20,0,0,0
27,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,NA,0,0,0,612,1119,0,0,0,0,4835,397,321,81,85,842,0,0,83,19,90,0,2362,614,8885,1765,3248,0,0,4259,13530,1884,774,510,194,160,546,0,0,868,464,4785,25,5113,0,0,0,0,0,0,0,0
28,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,longicatena,0,0,0,158,1739,0,15,149,42,2836,513,215,141,108,1367,0,38,303,221,94,0,12573,571,647,853,205,0,0,206,1012,535,1039,55,117,0,0,122,1724,4871,531,111,22212,1835,0,0,0,0,0,0,0,0
29,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,merdae,474,1571,2541,4879,12775,466,0,0,476,200,1511,1709,318,187,362,232,2366,0,0,0,522,3622,1560,239,1578,498,0,0,313,101,4459,1447,364,161,0,0,950,423,0,0,0,0,7128,202,174,562,558,0,12,165,43
30,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] gnavus group,NA,442,654,5237,0,294,132,15,9,0,0,0,57,0,0,0,0,0,0,62,0,45,8602,0,0,0,0,0,0,18,0,0,0,0,0,21,0,564,2215,719,120,167,19945,244,28,155,42,62,7920,337,185,9
31,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA,0,0,0,0,0,0,0,0,0,0,1169,2567,491,503,178,0,0,1326,13,168,0,2301,4693,18268,10788,242,0,0,0,0,1203,628,405,719,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
32,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,hadrus,105,125,541,349,796,1813,448,373,39,6128,1260,71,146,37,1116,0,137,1871,989,474,202,6316,3820,859,1272,137,34,119,918,2786,139,451,27,86,0,69,321,0,3472,2259,513,1456,492,116,324,88,893,1227,0,220,54
33,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,invisus,0,0,0,0,0,0,354,822,0,0,0,0,0,35,0,0,0,0,0,0,0,25,0,14054,23772,0,0,179,0,0,0,0,0,0,0,0,0,0,2572,1934,0,0,0,0,0,0,0,0,0,0,0
34,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,mitsuokai,0,0,0,0,0,15726,0,0,0,0,0,0,0,0,1666,0,0,0,0,0,0,13,0,5485,4240,0,0,0,0,0,0,0,2154,249,0,0,0,0,0,0,0,0,0,485,530,2080,5089,0,0,0,0
35,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,plebeius,0,0,28,0,46,0,0,0,0,0,21,22,0,0,0,0,0,359,7820,26065,2577,0,16,20,49,0,0,8,0,0,0,0,14,0,0,0,0,0,32,0,0,64,0,0,0,16,0,0,21,53,116
36,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34544,0,0,0,0,0,0,0,0,1173,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis,0,0,0,0,0,1227,0,0,0,0,799,6745,1417,326,0,0,0,0,0,0,1104,0,0,422,1312,1894,0,0,0,0,2057,0,0,0,0,0,0,0,0,0,0,0,7363,0,4422,2748,3009,0,0,0,0
38,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,massiliensis,0,463,0,171,1723,444,70,86,13,6513,193,84,60,153,1127,0,161,316,146,251,0,1875,1243,298,544,151,0,29,736,2711,403,399,76,112,49,203,206,2315,6895,1270,19,0,2933,29,115,63,186,0,0,0,0
39,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,pectinoschiza,0,93,0,79,1420,200,0,0,18,59,103,71,0,35,193,0,0,32,36,695,0,0,91,59,0,79,0,0,425,425,366,188,391,79,0,0,29,15,81,632,475,21856,0,544,2822,944,1024,6,0,0,0
40,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,bacterium,0,0,0,100,1806,52,0,0,0,5005,381,445,440,137,37,12,117,179,601,457,0,0,1267,73,321,77,0,0,562,1930,118,241,96,16,0,0,0,0,1918,928,630,12140,322,0,69,10,22,0,0,0,0
41,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,shahii,0,0,0,0,0,0,0,0,0,0,4294,4044,2034,508,0,0,0,694,366,113,0,0,1785,3342,2446,0,0,0,0,0,3375,2508,0,63,3278,599,463,208,0,0,0,0,113,0,0,0,0,0,0,0,0
42,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,bromii,0,0,0,762,3196,0,0,2178,77,0,654,1797,404,374,18,0,206,709,0,609,286,0,0,638,411,264,0,0,0,0,0,2903,197,492,233,125,0,0,11387,0,0,0,0,0,0,0,0,0,0,0,10
43,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA,NA,0,0,0,0,0,0,0,0,0,0,1199,1979,190,36,604,0,0,1447,197,63,0,12,3870,5524,7245,146,0,0,0,0,1436,754,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
44,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA,76,53,2003,5,0,0,0,0,0,90,39,329,0,13,182,0,0,20,50,45,83,0,0,12,3040,22,365,0,38,2951,84,10,18,0,233,90,3689,568,252,174,200,2572,5,0,0,8,0,4094,79,1155,0
45,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae,0,0,0,0,0,508,0,0,0,0,608,0,0,0,0,0,452,1577,704,1013,3018,1305,76,0,0,230,0,0,0,0,1954,1195,0,0,466,347,2099,245,0,0,0,0,0,197,547,766,474,0,0,4481,326
46,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprocola,0,0,0,0,0,0,0,0,0,0,3081,7150,5280,6695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,aerofaciens,61,673,663,34,534,30,0,0,0,471,165,241,24,9,481,0,200,286,32,34,0,688,263,87,336,34,0,0,61,477,187,270,104,35,25,28,0,0,13862,1213,0,0,214,0,12,18,16,0,0,0,0
48,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,eggerthii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,730,111,3162,0,0,0,0,0,0,0,0,0,0,14439,64,0,1354,1176,0,0,0,0,0,0,0,0,0,0,0,0,10,0,227
49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,NA,0,0,0,0,0,0,0,0,0,0,6659,11131,2161,429,25,0,0,0,0,0,0,16,807,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,23,46,329,0,46,38,46,78,7,538,0,0,0,0,113,0,33,15,86,83,132,231,0,217,605,673,0,17,35,232,45,74,50,170,0,17,48,0,10773,1369,1212,2323,193,23,513,34,124,412,58,41,17
51,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,NA,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,776,255,0,0,0,0,0,0,106,1923,6758,9787,908,0,0,0,0
52,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,wadsworthia,0,19,0,320,8613,86,313,137,34,306,64,0,0,0,0,0,0,225,44,49,810,0,0,41,569,50,0,418,105,50,376,135,911,0,0,126,0,607,3419,1206,0,0,0,65,110,322,705,0,0,0,7
53,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19745,0,0,0,0,0,0,0,0
54,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,44,107,397,142,638,377,0,107,29,4204,2713,374,272,67,262,0,141,0,0,0,143,420,401,163,191,87,0,0,348,533,531,639,0,51,108,109,0,0,2019,1008,129,128,642,23,65,62,280,0,353,1302,24
55,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,bicirculans,0,0,0,0,0,0,0,0,0,0,13074,1802,748,8,0,0,0,116,58,112,0,0,0,0,53,236,0,0,0,0,250,1614,24,0,95,32,0,0,0,848,0,19,13,0,0,0,0,0,0,0,0
56,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,0,3848,0,1466,12362,0,393,445,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,prausnitzii,0,0,0,0,0,131,1305,1449,238,0,143,70,19,76,977,215,329,100,70,376,2014,189,320,238,5009,11,56,1646,0,0,278,612,1095,260,94,242,0,0,170,865,0,0,0,0,0,0,77,0,34,0,96
58,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,18097,0,0,0,0,0,0,0,0,0
59,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
60,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,0,0,0,667,1933,377,0,0,0,0,293,0,0,0,0,154,175,0,0,0,328,173,0,66,0,66,68,0,0,0,0,0,0,0,0,0,2554,1637,6965,0,0,0,53,1005,409,737,505,0,0,0,27
61,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,excrementihominis,0,0,0,2041,4929,0,0,0,0,287,18,877,988,162,14,0,472,1608,562,2854,1460,0,0,42,1055,0,0,0,15,33,137,0,28,0,0,6,0,0,0,0,0,0,0,0,0,0,21,0,39,10,47
62,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,stercoris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,137,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,16337,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,0,0,0,0,0,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7564,832,1976,3943,2147,0,0,0,0
64,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,0,0,0,0,0,2118,416,1208,73,0,272,158,0,0,127,43,59,0,0,0,1653,4473,272,164,154,268,101,342,0,0,123,19,109,76,241,340,946,780,0,0,0,0,351,433,66,200,565,0,0,114,161
65,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,2451,1208,6295,0,0,0,1982,1804,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,239,583,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,saccharivorans,82,127,837,48,550,686,73,140,61,977,516,164,153,178,267,0,74,191,106,298,0,194,1241,172,1042,177,0,54,320,2046,222,126,207,33,35,248,0,0,1267,1190,0,0,915,149,341,178,645,0,0,0,0
67,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,capnocytophagoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16224,0,0,0
68,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,finegoldii,1728,1366,4442,0,0,0,0,0,0,0,0,0,0,0,0,989,2166,77,803,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2655,1523,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,NA,1597,5802,6594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,4645,0,5337,97,1165,0,0,0,0,0,0,250,2234,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
71,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,NA,0,0,0,0,0,0,0,0,0,0,781,514,337,133,554,0,26,459,0,54,0,0,818,2074,8712,199,0,0,0,0,314,219,305,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,NA,49,105,475,239,902,303,36,0,0,3991,0,0,0,46,176,0,99,398,161,225,0,74,558,57,418,33,0,21,331,483,516,150,38,53,0,0,121,2127,689,437,99,107,618,0,47,48,208,0,618,0,0
73,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,inulinivorans,185,0,640,49,262,16,0,863,248,0,190,6793,332,156,105,0,0,0,100,27,0,1945,22,21,116,52,0,0,0,0,643,642,178,22,17,107,0,189,41,449,0,0,30,0,149,0,27,0,0,0,0
74,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1242,0,0,0,0,0,0,0,3576,816,8555,8,0,0,0,0,40,65,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,obesi,0,0,0,0,0,0,0,0,0,0,1861,6556,1233,493,0,0,0,1084,102,284,0,0,0,1300,264,0,0,0,0,0,30,684,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
77,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,0,0,0,0,0,0,0,0,0,0,0,7714,2850,944,0,0,0,629,371,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,stercoricanis,0,0,0,377,8963,0,0,1206,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,NA,0,0,0,0,0,3156,0,0,0,0,0,0,0,0,46,0,0,0,4,0,0,0,0,820,406,431,0,0,0,0,0,0,31,56,0,0,0,0,0,0,0,0,0,2057,1851,1106,3633,10,0,0,0
80,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,[Eubacterium] siraeum group,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1795,0,0,0,116,901,0,0,837,2992,1026,60,0,0,0,0,206,9,4720,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
